Contrato;Marca;Categoria;SubCategoria;Moneda;Desc. Royalty;Royalty;BDI;Producto;Cliente;SKU;Descripcion Producto;Precio Unitario Venta Neta;Q Venta Neta;Precio Unitario Devolucion / Descuento;Q Devolucion
EC114750;Max Steel;Bags;;CLP;Distribuitor;0.13;0.01;MOCHILA; ;MT-24942;MOCHILA MAX STEEL C/CIERRE DIAGONAL ;2475;24;0;0
EC114750;Max Steel;Bags;;CLP;Distribuitor;0.13;0.01;MOCHILA C/RUEDAS; ;MT-25159;MOCHILA C/RUEDAS CIERRE DIAGONAL MAX STEEL;4062;13;0;0
EC114750;Max Steel;Bags;;CLP;Distribuitor;0.13;0.01;MOCHILA; ;MT-25160;MOCHILA CON BOLSILLO MAX STEEL;2590;36;0;0
EC114750;Max Steel;Bags;;CLP;Distribuitor;0.13;0.01;MOCHILA; ;MT-25162;MOCHILA CIERRE FIGURA PVC MAX STELL 2 DIS.;3250;18;0;0
EC114750;Max Steel;Bags;;CLP;Distribuitor;0.13;0.01;MOCHILA C/RUEDAS; ;MT-25163;MOCHILA C/RUEDAS GRANDE MAX STEEL 2 DIS.;4470;79;0;0
EC114750;Max Steel;Bags;;CLP;Distribuitor;0.13;0.01;MOCHILA; ;MT-25168;MOCHILA JUVENIL BOLSILLO MAX STELL;3094;22;1875;1
EC114750;Max Steel;Bags;;CLP;Distribuitor;0.13;0.01;LONCHERA; ;MT-27283;LONCHERA INFANTIL MAX STELL ;1707;29;0;0
EC114750;Max Steel;Bags;;CLP;Distribuitor;0.13;0.01;MOCHILA; ;MT-27289;MOCHILA FIG. 2D MAX STEELL        ;4275;64;0;0
EC114750;Max Steel;Bags;;CLP;Distribuitor;0.13;0.01;MOCHILA; ;MT-738014;MOCHILA MEDIANA MAX STEEL;3469;12;0;0
