Contrato;Marca;Categoria;SubCategoria;Moneda;Desc. Royalty;Royalty;BDI;Producto;Cliente;SKU;Descripcion Producto;Precio Unitario Venta Neta;Q Venta Neta;Precio Unitario Devolucion / Descuento;Q Devolucion
EC116293;Barbie;Bags;Backpacks & Lunchbox Retail;CLP;Standard;0,11;0,01;MOCHILAS CON CARRO;SOC COM Y DE INVER VAMA LTDA;340950;NERINE MUSIC  BARBIE BOLSO;4210,00;0;4210,00;5
EC116293;Barbie;Bags;Backpacks & Lunchbox Retail;CLP;Standard;0,11;0,01;MOCHILAS CON CARRO;SOC COM Y DE INVER VAMA LTDA;340912;APPLE 2015 SUR BARBIE MOCHILA;4210,00;0;4210,00;4
EC116293;Ever After High;Stationery Social Expressions;;CLP;Standard;0,12;0,01;MOCHILAS CON CARRO;STEPKE VASQUEZ MIRIAN;340910;SONY MORADO EAH MOCHILA;6620,00;0;6620,00;2
EC116293;Barbie;Stationery Social Expressions;Pencil cases Retail;CLP;Standard;0,11;0,01;ACCESORIOS ESTUCHE;SOC COM Y DE INVER VAMA LTDA;340916;DOCILE 2015 SUR BARBIE ESTUCHE;1801,00;0;1801,00;1
EC116293;Ever After High;Stationery Social Expressions;;CLP;Standard;0,12;0,01;CARTERA URBANA INFANTIL;STEPKE VASQUEZ MIRIAN;340906;DIVINE MORADO EAH CARTERA  URBANA;8427,00;0;8427,00;1
EC116293;Ever After High;Stationery Social Expressions;;CLP;Standard;0,12;0,01;MOCHILAS CON CARRO;STEPKE VASQUEZ MIRIAN;340907;DREAM MORADO EAH MOCHILA C/CARRO;12042,00;0;12042,00;1
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL CURICO;300308;DOCILE PRINCESS BARBIE ESTUCHE;916,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS MONEDERO;LOCAL SOL 2;340951;TULIPAN MUSIC  BARBIE MONEDERO;1244,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL MELIPILLA;300308;DOCILE PRINCESS BARBIE ESTUCHE;1420,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;DANIEL GUILLERMO ALBERTI AUTOMATIZACION EIRL;340892;DOCILE 2014 SUR BARBIE ESTUCHE;1420,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL  JUMBO RANCAGUA 2;340892;DOCILE 2014 SUR BARBIE ESTUCHE;1420,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL LOS ANDES;340923;SWEET 2015 SUR BARBIE ESTUCHE;1672,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL SAN BERNARDO;340923;SWEET 2015 SUR BARBIE ESTUCHE;1672,00;1;0,00;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL VALDIVIA;340923;SWEET 2015 SUR BARBIE ESTUCHE;1672,00;1;0,00;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS MONEDERO;LOCAL MALL PLAZA LOS ANGELES;340948;KIWI ROMANTIC  BARBIE MONEDERO;1672,00;1;0,00;0
