Contrato;Marca;Categoria;SubCategoria;Moneda;Desc. Royalty;Royalty;BDI;Producto;Cliente;SKU;Descripcion Producto;Precio Unitario Venta Neta;Q Venta Neta;Precio Unitario Devolucion / Descuento;Q Devolucion
EC116293;Ever After High;Stationery Social Expressions;;CLP;Direct to Consumer;0,05;0,01;;;;;;;;
EC116293;Ever After High;Stationery Social Expressions;;CLP;Standard;0,12;0,01;;;;;;;;
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Standard;0,11;0,01;;;;;;;;
EC116293;Barbie;Bags;Backpacks & Lunchbox Retail;CLP;Direct to Consumer;0,05;0,01;;;;;;;;
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Standard;0,11;0,01;;;;;;;;
EC116293;Barbie;Bags;Fashion Bags & Luggages Retail;CLP;Direct to Consumer;0,05;0,01;;;;;;;;
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Standard;0,11;0,01;;;;;;;;
EC116293;Barbie;Stationery Social Expressions;Pencil cases Retail;CLP;Direct to Consumer;0,05;0,01;;;;;;;;
