Contrato;Marca;Categoria;SubCategoria;Moneda;Desc. Royalty;Royalty;BDI;Producto;Cliente;SKU;Descripcion Producto;Precio Unitario Venta Neta;Q Venta Neta;Precio Unitario Devolucion / Descuento;Q Devolucion
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL CHILLAN 1;340916;DOCILE 2015 SUR BARBIE ESTUCHE;2513;1;0;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL LOS ANDES;340916;DOCILE 2015 SUR BARBIE ESTUCHE;2513;1;0;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL LOS ANDES;340920;FASHION 2015 SUR BARBIE ESTUCH;2513;1;0;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL OSORNO;340920;FASHION 2015 SUR BARBIE ESTUCH;2513;1;0;0
EC116293;Barbie;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL PUERTO MONTT;340920;FASHION 2015 SUR BARBIE ESTUCH;2513;1;0;0
EC116293;Ever After High;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;OUTLET PARK;340943;GLAMOUR SUR EAH ESTUCHE;2513;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;BOLSOS INFANTIL;LOCAL CURICO;340946;ASTER PETS  BARBIE BOLSO;2723;1;0;0
EC116293;Ever After High;Stationery Social Expressions;Pencil cases WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS ESTUCHE;LOCAL PORTAL NU?OA;340941;EBANO SUR EAH ESTUCHE;2933;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL CURICO;340900;VANILLA 2014 SUR BARBIE LONCHE;3269;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL EXTRA EL BELLOTO;340945;ABELIA ROMANTIC  BARBIE CARTER;3269;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL TOBALABA;300305;DESTINY PRINCESS BARBIE MOCHIL;3353;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL JUMBO MAIPU;340884;PACK MINI 2014 SUR BARBIE LONC;3353;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL COLINA;340924;VANILLA 2015 SUR BARBIE LONCHE;3353;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;BOLSOS INFANTIL;LOCAL PORTAL NU?OA;340946;ASTER PETS  BARBIE BOLSO;3355;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;MOCHILAS CON CARRO;LOCAL CURICO;340912;APPLE 2015 SUR BARBIE MOCHILA;3815;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL PUERTO MONTT 3;340945;ABELIA ROMANTIC  BARBIE CARTER;4025;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL PORTAL NU?OA;300317;EROS PRINCESS BARBIE LONCHERA;4027;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MELIPILLA;300318;EROS ROCK BARBIE LONCHERA;4027;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL LA REINA;340944;ABELIA MUSIC  BARBIE CARTERA U;4027;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;BOLSOS INFANTIL;LOCAL EXTRA EL BELLOTO;340946;ASTER PETS  BARBIE BOLSO;4193;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL COLINA;340947;GLOSS PETS  BARBIE CARTERA URB;4193;1;0;0
EC116293;Barbie;Bags;Fashion Bags & Luggages WSS;CLP;Direct to Consumer;0,05;0,01;CARTERA URBANA INFANTIL;LOCAL OUT LET BELLOTO;340947;GLOSS PETS  BARBIE CARTERA URB;4361;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL PUERTO VARAS;300237;VANILLA TREND 2012 BARBIE LONC;5034;1;0;0
EC116293;Barbie;Bags;Backpacks & Lunchbox WSS;CLP;Direct to Consumer;0,05;0,01;ACCESORIOS LONCHERA;LOCAL MALL PLAZA NORTE;300238;EROS TREND BARBIE LONCHERA;5034;1;0;0
